TF	GENE	REGULATORY	CONFIDENCE_LEVEL
G4	G4	0	1.000
G8	G4	-	1.000
G5	G4	0	1.000
G3	G4	-	1.000
G9	G4	0	1.000
G1	G4	0	1.000
G6	G4	0	1.000
G7	G4	0	1.000
G2	G4	0	1.000
G10	G4	-	1.000
G4	G8	0	0.500
G8	G8	0	1.000
G5	G8	0	1.000
G3	G8	0	1.000
G9	G8	0	1.000
G1	G8	-	0.500
G6	G8	-	1.000
G7	G8	0	1.000
G2	G8	0	1.000
G10	G8	+	1.000
G4	G5	+	1.000
G8	G5	0	1.000
G5	G5	0	1.000
G3	G5	0	1.000
G9	G5	0	1.000
G1	G5	0	1.000
G6	G5	-	1.000
G7	G5	+	1.000
G2	G5	0	1.000
G10	G5	0	1.000
G4	G3	0	1.000
G8	G3	-	1.000
G5	G3	0	1.000
G3	G3	0	1.000
G9	G3	0	1.000
G1	G3	0	1.000
G6	G3	0	1.000
G7	G3	0	1.000
G2	G3	-	1.000
G10	G3	+	1.000
G4	G9	0	1.000
G8	G9	-	1.000
G5	G9	0	1.000
G3	G9	-	1.000
G9	G9	0	1.000
G1	G9	0	1.000
G6	G9	0	1.000
G7	G9	0	1.000
G2	G9	0	1.000
G10	G9	-	1.000
G4	G1	0	1.000
G8	G1	-	1.000
G5	G1	0	1.000
G3	G1	0	1.000
G9	G1	-	1.000
G1	G1	0	1.000
G6	G1	0	1.000
G7	G1	0	1.000
G2	G1	0	1.000
G10	G1	+	1.000
G4	G6	0	1.000
G8	G6	-	1.000
G5	G6	+	1.000
G3	G6	0	1.000
G9	G6	-	1.000
G1	G6	0	1.000
G6	G6	0	1.000
G7	G6	0	1.000
G2	G6	0	1.000
G10	G6	0	1.000
G4	G7	0	0.500
G8	G7	-	1.000
G5	G7	+	0.500
G3	G7	-	0.333
G9	G7	0	1.000
G1	G7	0	1.000
G6	G7	-	0.500
G7	G7	0	1.000
G2	G7	0	1.000
G10	G7	0	1.000
G4	G2	0	1.000
G8	G2	0	1.000
G5	G2	0	1.000
G3	G2	+	1.000
G9	G2	0	1.000
G1	G2	0	1.000
G6	G2	0	1.000
G7	G2	-	1.000
G2	G2	0	1.000
G10	G2	-	1.000
G4	G10	+	1.000
G8	G10	0	1.000
G5	G10	0	1.000
G3	G10	+	1.000
G9	G10	0	1.000
G1	G10	+	1.000
G6	G10	0	1.000
G7	G10	0	1.000
G2	G10	0	1.000
G10	G10	0	1.000
